event_id,year,month,state,event_type,cz_type,deaths_direct,deaths_indirect,injuries_direct,injuries_indirect,damage_property_usd,damage_crops_usd,magnitude,magnitude_type,tor_f_scale,begin_lat,begin_lon,duration_hours,state_population,state_real_gdp_musd
941545,2021,1,Tennessee,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,11.0,6966687.0,401673.7
949348,2021,1,California,Winter Weather,Z,0,0,0,0,,,,,,,,26.0,39152927.0,3151112.5
931903,2021,2,California,Dense Fog,Z,0,0,0,0,0.0,0.0,,,,,,7.17,39152927.0,3151112.5
932321,2021,2,Pennsylvania,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,7.0,13016628.0,766140.0
932326,2021,2,New Jersey,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,7.5,9266509.0,631158.3
932811,2021,2,Colorado,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,18.5,5814368.0,406309.2
932835,2021,2,Minnesota,Extreme Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,6.0,5714055.0,377975.8
932847,2021,2,Minnesota,Extreme Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,10.0,5714055.0,377975.8
932931,2021,2,Maryland,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,12.0,6176035.0,407160.1
932968,2021,2,Minnesota,Extreme Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,10.0,5714055.0,377975.8
932970,2021,2,Minnesota,Extreme Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,8.0,5714055.0,377975.8
932978,2021,2,Minnesota,Extreme Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,16.0,5714055.0,377975.8
933055,2021,2,Wisconsin,Extreme Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,8.0,5882128.0,334848.6
933333,2021,2,Missouri,Extreme Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,9.0,6172551.0,331578.0
933357,2021,2,Missouri,Extreme Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,9.0,6172551.0,331578.0
933448,2021,2,Indiana,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,18.0,6814223.0,386872.8
933466,2021,2,Michigan,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,15.0,10042362.0,528701.8
933557,2021,2,New Mexico,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,28.0,2117300.0,101499.2
933749,2021,2,Indiana,Heavy Snow,Z,0,0,0,0,,,,,,,,33.0,6814223.0,386872.8
933837,2021,2,Nebraska,Extreme Cold/Wind Chill,Z,0,0,0,0,,,,,,,,54.0,1964697.0,135166.4
933914,2021,2,Indiana,Heavy Snow,Z,0,0,0,0,,,,,,,,34.0,6814223.0,386872.8
933917,2021,2,Indiana,Heavy Snow,Z,0,0,0,0,,,,,,,,31.0,6814223.0,386872.8
933990,2021,2,Colorado,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,29.0,5814368.0,406309.2
933998,2021,2,Maine,Winter Storm,Z,0,0,0,0,,,,,,,,21.0,1379009.0,71353.5
934008,2021,2,New Hampshire,Winter Storm,Z,0,0,0,0,,,,,,,,22.0,1387907.0,90296.7
934161,2021,2,New Jersey,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,39.0,9266509.0,631158.3
934198,2021,2,Nebraska,Extreme Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,12.0,1964697.0,135166.4
934302,2021,2,New Mexico,Thunderstorm Wind,C,0,0,0,0,0.0,0.0,54.0,MG,,35.16,-106.74,0.25,2117300.0,101499.2
934716,2021,2,Michigan,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,14.0,10042362.0,528701.8
934913,2021,2,Pennsylvania,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,35.5,13016628.0,766140.0
934982,2021,2,Montana,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,35.0,1106416.0,53345.9
935111,2021,2,Oregon,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,51.5,4254691.0,250919.9
935190,2021,2,Colorado,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,15.0,5814368.0,406309.2
935273,2021,2,New Jersey,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,5.5,9266509.0,631158.3
935276,2021,2,New Jersey,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,5.75,9266509.0,631158.3
935346,2021,2,Montana,High Wind,Z,0,0,0,0,0.0,0.0,63.0,MG,,,,0.0,1106416.0,53345.9
935419,2021,2,Montana,High Wind,Z,0,0,0,0,0.0,0.0,58.0,MG,,,,0.0,1106416.0,53345.9
935769,2021,2,Wyoming,Winter Weather,Z,0,0,0,0,,,,,,,,0.27,579662.0,37182.6
936114,2021,2,Kentucky,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,28.0,4508348.0,215535.0
936116,2021,2,Kentucky,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,28.0,4508348.0,215535.0
936136,2021,2,Wisconsin,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,12.0,5882128.0,334848.6
936148,2021,2,Massachusetts,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,10.0,6996721.0,597420.0
936156,2021,2,Massachusetts,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,10.0,6996721.0,597420.0
936335,2021,2,Illinois,Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,7.0,12703354.0,857114.6
936382,2021,2,Hawaii,High Surf,Z,0,0,0,0,0.0,0.0,,,,,,137.98,1446909.0,84532.0
936439,2021,2,Kentucky,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,23.0,4508348.0,215535.0
936662,2021,2,California,High Wind,Z,0,0,0,0,0.0,0.0,55.0,MG,,,,24.0,39152927.0,3151112.5
936804,2021,2,New Mexico,Drought,Z,0,0,0,0,,,,,,,,671.98,2117300.0,101499.2
936850,2021,2,Wisconsin,Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,41.0,5882128.0,334848.6
936860,2021,2,Wisconsin,Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,41.0,5882128.0,334848.6
936870,2021,2,Wisconsin,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,14.75,5882128.0,334848.6
936872,2021,2,Wisconsin,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,17.0,5882128.0,334848.6
936876,2021,2,Wisconsin,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,14.0,5882128.0,334848.6
937010,2021,2,Alabama,Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,6.0,5050058.0,233951.1
937346,2021,2,Virginia,Winter Weather,Z,0,0,0,0,,,,,,,,10.0,8660007.0,565790.7
937361,2021,2,Virginia,Winter Weather,Z,0,0,0,0,,,,,,,,10.0,8660007.0,565790.7
937365,2021,2,Virginia,Winter Weather,Z,0,0,0,0,,,,,,,,7.0,8660007.0,565790.7
937378,2021,2,Maryland,Winter Weather,Z,0,0,0,0,,,,,,,,7.0,6176035.0,407160.1
937416,2021,2,Virginia,Winter Weather,Z,0,0,0,0,,,,,,,,17.0,8660007.0,565790.7
937431,2021,2,West Virginia,Winter Storm,Z,0,0,0,0,,,,,,,,15.0,1785921.0,76230.8
937446,2021,2,Maryland,Winter Weather,Z,0,0,0,0,,,,,,,,22.0,6176035.0,407160.1
937471,2021,2,Virginia,Winter Weather,Z,0,0,0,0,,,,,,,,22.0,8660007.0,565790.7
937493,2021,2,Oklahoma,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,7.48,3992760.0,194991.2
937501,2021,2,Maryland,Winter Weather,Z,0,0,0,0,,,,,,,,20.0,6176035.0,407160.1
937513,2021,2,Maryland,Winter Weather,Z,0,0,0,0,,,,,,,,29.0,6176035.0,407160.1
937758,2021,2,Louisiana,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,38.45,4628595.0,242582.1
937819,2021,2,Arkansas,Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,60.0,3027127.0,137634.8
937822,2021,2,Arkansas,Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,60.0,3027127.0,137634.8
937824,2021,2,Arkansas,Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,60.0,3027127.0,137634.8
937842,2021,2,Texas,Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,60.0,29572672.0,1905512.4
937852,2021,2,Texas,Cold/Wind Chill,Z,0,0,0,0,0.0,0.0,,,,,,60.0,29572672.0,1905512.4
938044,2021,2,Kentucky,Ice Storm,Z,0,0,0,0,0.0,0.0,,,,,,41.0,4508348.0,215535.0
